ID: 193, Name: Buckland, LOCID: BVK, X: -161.151978, Y: 65.982285
ID: 194, Name: Selawik, LOCID: WLK, X: -159.986191, Y: 66.600029
ID: 195, Name: Kobuk, LOCID: OBU, X: -156.861053, Y: 66.909172
ID: 196, Name: Shungnak, LOCID: SHG, X: -157.150513, Y: 66.889168
ID: 197, Name: Ambler, LOCID: AFM, X: -157.853622, Y: 67.106102
ID: 198, Name: Deadhorse, LOCID: SCC, X: -148.465164, Y: 70.194756
ID: 199, Name: Nome, LOCID: OME, X: -165.445251, Y: 64.512199
ID: 200, Name: Deering, LOCID: DEE, X: -162.766602, Y: 66.068207
ID: 201, Name: Bob Baker Memorial, LOCID: IAN, X: -160.435867, Y: 66.979378
ID: 202, Name: Robert (Bob) Curtis Memorial, LOCID: ORV, X: -161.027786, Y: 66.828529
ID: 203, Name: Ralph Wien Memorial, LOCID: OTZ, X: -162.598557, Y: 66.884674
ID: 204, Name: Nuiqsut, LOCID: AQT, X: -151.005554, Y: 70.209953
ID: 205, Name: Savoonga, LOCID: SVA, X: -170.49263, Y: 63.686394
ID: 206, Name: Teller, LOCID: K54, X: -166.336014, Y: 65.240898
ID: 207, Name: Brevig Mission, LOCID: KTS, X: -166.463165, Y: 65.33136
ID: 208, Name: Shishmaref, LOCID: SHH, X: -166.089554, Y: 66.249565
ID: 209, Name: Wales, LOCID: IWK, X: -168.099167, Y: 65.62394
ID: 210, Name: Noatak, LOCID: WTK, X: -162.975281, Y: 67.56208
ID: 211, Name: Red Dog, LOCID: AED, X: -162.902954, Y: 68.031288
ID: 212, Name: Atqasuk Edward Burnell Sr. Memorial, LOCID: ATK, X: -157.43573, Y: 70.467278
ID: 213, Name: Gambell, LOCID: GAM, X: -171.732819, Y: 63.766766
ID: 214, Name: Point Hope, LOCID: PHO, X: -166.799301, Y: 68.348778
ID: 215, Name: Point Lay LRRS, LOCID: PIZ, X: -163.005341, Y: 69.732872
ID: 216, Name: Wainwright, LOCID: AWI, X: -159.994751, Y: 70.638
ID: 217, Name: Wiley Post-Will Rogers Memorial, LOCID: BRW, X: -156.766006, Y: 71.285446
ID: 218, Name: New Stuyahok, LOCID: KNW, X: -157.327194, Y: 59.449554
ID: 219, Name: Ted Stevens Anchorage International, LOCID: ANC, X: -149.996185, Y: 61.17432
ID: 220, Name: Iliamna, LOCID: ILI, X: -154.910965, Y: 59.753799
ID: 221, Name: Koyukuk, LOCID: KYU, X: -157.715836, Y: 64.877144
